No,Name,Role,Reflect,Defense,Passing,Vision ,Physical,Speed,Dribble,Shoot,Market Value,MV,Density
1,Altay Bayindir,GK,97,44,55,35,68,71,65,4,"15,500,000.00",15.5,6.25
2,Paul Bernardoni,GK,74,61,53,45,64,5,34,45,"9,000,000.00",9,8.22
3,Alexandre Oukidja,GK,70,45,79,55,8,20,64,48,"1,500,000.00",1.5,46.66
4,Andrey Lunev,GK,71,60,55,54,67,39,75,14,"4,000,000.00",4,17.75
5,Mathew Ryan,GK,70,10,1,31,33,2,34,66,"5,000,000.00",5,14
6,Matz Sels,GK,90,78,77,52,24,46,27,33,"6,500,000.00",6.5,13.84
7,Yvon Mvogo,GK,99,68,19,48,44,40,23,69,"2,500,000.00",2.5,39.6
8,Helton Leite,GK,98,3,18,56,61,68,65,11,"4,000,000.00",4,24.5
9,Bruno Varela,GK,80,20,74,7,23,39,9,5,"4,000,000.00",4,20
10,Nadeo Argawinata,GK,93,74,9,20,20,54,35,13,"300,000.00",0.3,310
11,Omar Richards,LB,79,25,76,18,14,32,66,52,"7,000,000.00",7,10.85
12,Adrián Marín,LB,53,76,74,13,2,31,74,40,"1,200,000.00",1.2,61.66
13,Marcus Pedersen,LB,75,74,84,61,62,44,68,14,"4,500,000.00",4.5,18.66
14,Cristian Borja,LB,21,36,89,15,71,11,10,4,"3,000,000.00",3,29.66
15,Dimitrios Giannoulis,LB,72,9,78,9,44,48,51,33,"7,000,000.00",7,11.14
16,Javi Galán,LB,28,4,83,1,41,45,1,51,"9,000,000.00",9,9.22
17,Mário Rui,LB,46,1,90,4,51,29,40,80,"8,000,000.00",8,11.25
18,Luca Netz,LB,79,0,81,72,55,40,46,69,"5,000,000.00",5,16.2
19,Taufik Hidayat,LB,67,60,82,33,43,68,52,5,"50,000.00",0.05,1640
20,Eren Elmali,LB,56,3,92,30,57,14,18,41,"1,800,000.00",1.8,51.11
21,Cédric Soares,RB,77,54,79,25,73,70,47,32,"5,000,000.00",5,15.8
22,Damián Suárez,RB,70,52,90,55,60,67,30,66,"1,500,000.00",1.5,60
23,Pasquale Mazzocchi,RB,60,11,92,49,27,41,72,27,"1,500,000.00",1.5,61.33
24,Pascal Stenzel,RB,60,18,88,50,56,5,12,7,"1,500,000.00",1.5,58.66
25,Wilson Manafá,RB,10,78,93,29,74,63,34,49,"5,500,000.00",5.5,16.9
26,Yukinari Sugawara,RB,45,3,93,3,69,67,78,39,"3,000,000.00",3,31
27,Bruno Peres,RB,67,52,89,40,30,4,8,75,"2,500,000.00",2.5,35.6
28,Joël Veltman,RB,7,29,91,68,48,36,44,7,"8,000,000.00",8,11.37
29,Nacho Vidal,RB,49,24,87,16,6,68,71,22,"5,000,000.00",5,17.4
30,Adam Marusic,RB,18,26,86,48,34,77,10,65,"7,500,000.00",7.5,11.46
31,Gian Marco Ferrari,CBL,34,81,42,74,21,29,5,68,"10,000,000.00",10,8.1
32,Leonirdas Stergiou,CBL,53,70,47,15,63,78,15,77,"7,000,000.00",7,10
33,Omar Colley,CBL,60,83,25,51,6,47,32,74,"5,000,000.00",5,16.6
34,Jacob Greaves,CBL,58,74,3,39,3,7,70,22,"45,000,000.00",45,1.64
35,Emanuel Gilarte,CBL,8,96,25,12,15,36,39,49,"3,000,000.00",3,32
36,Marc Bartra,CBL,22,96,49,78,70,34,2,7,"6,000,000.00",6,16
37,Jack Hendry,CBL,50,97,63,40,63,11,47,5,"5,000,000.00",5,19.4
38,Alejandro Catena,CBL,31,77,73,75,75,10,1,4,"4,000,000.00",4,19.25
39,Lautaro Valenti,CBL,71,90,78,74,13,70,41,21,"3,800,000.00",3.8,23.68
40,Dmitri Chistyakov,CBL,19,74,13,46,59,47,59,10,"3,500,000.00",3.5,21.14
41,Michael Ngadeu,CBR,2,71,23,54,53,10,41,18,"3,500,000.00",3.5,20.28
42,Mattia Viti,CBR,30,72,1,9,61,58,21,4,"4,000,000.00",4,18
43,Ousseynou Ba,CBR,55,72,75,64,2,72,65,6,"4,500,000.00",4.5,16
44,David Hancko,CBR,1,95,17,70,66,54,20,51,"4,000,000.00",4,23.75
45,Juan Jesus,CBR,49,84,67,69,73,34,25,46,"4,000,000.00",4,21
46,Sepp Van Den Berg,CBR,23,72,67,48,48,4,16,64,"5,000,000.00",5,14.4
47,Chris Richards,CBR,44,72,38,34,22,21,11,8,"7,500,000.00",7.5,9.6
48,Alexander Djiku,CBR,65,80,54,52,25,39,46,56,"9,000,000.00",9,8.88
49,Strahinja Pavlovic,CBR,73,73,15,20,32,56,12,40,"8,000,000.00",8,9.12
50,Amos Pieper,CBR,12,85,78,73,73,35,74,36,"7,000,000.00",7,12.14
51,Waldemar Anton,CBR,34,91,35,46,26,42,47,64,"6,000,000.00",6,15.16
52,Malick Thiaw,CBR,71,70,28,55,69,29,32,62,"5,000,000.00",5,14
