No,Name,Role,Reflect,Defense,Passing,Vision ,Physical,Speed,Dribble,Shoot,Market Value
1,Altay Bayindir,GK,97,44,55,35,68,71,65,4,15500000
2,Paul Bernardoni,GK,74,61,53,45,64,5,34,45,9000000
3,Alexandre Oukidja,GK,70,45,79,55,8,20,64,48,1500000
4,Andrey Lunev,GK,71,60,55,54,67,39,75,14,4000000
5,Mathew Ryan,GK,70,10,1,31,33,2,34,66,5000000
6,Matz Sels,GK,90,78,77,52,24,46,27,33,6500000
7,Yvon Mvogo,GK,99,68,19,48,44,40,23,69,2500000
8,Helton Leite,GK,98,3,18,56,61,68,65,11,4000000
9,Bruno Varela,GK,80,20,74,7,23,39,9,5,4000000
10,Nadeo Argawinata,GK,93,74,9,20,20,54,35,13,300000
11,Omar Richards,LB,79,25,76,18,14,32,66,52,7000000
12,Adrián Marín,LB,53,76,74,13,2,31,74,40,1200000
13,Marcus Pedersen,LB,75,74,84,61,62,44,68,14,4500000
14,Cristian Borja,LB,21,36,89,15,71,11,10,4,3000000
15,Dimitrios Giannoulis,LB,72,9,78,9,44,48,51,33,7000000
16,Javi Galán,LB,28,4,83,1,41,45,1,51,9000000
17,Mário Rui,LB,46,1,90,4,51,29,40,80,8000000
18,Luca Netz,LB,79,0,81,72,55,40,46,69,5000000
19,Taufik Hidayat,LB,67,60,82,33,43,68,52,5,50000
20,Eren Elmali,LB,56,3,92,30,57,14,18,41,1800000
21,Cédric Soares,RB,77,54,79,25,73,70,47,32,5000000
22,Damián Suárez,RB,70,52,90,55,60,67,30,66,1500000
23,Pasquale Mazzocchi,RB,60,11,92,49,27,41,72,27,1500000
24,Pascal Stenzel,RB,60,18,88,50,56,5,12,7,1500000
25,Wilson Manafá,RB,10,78,93,29,74,63,34,49,5500000
26,Yukinari Sugawara,RB,45,3,93,3,69,67,78,39,3000000
27,Bruno Peres,RB,67,52,89,40,30,4,8,75,2500000
28,Joël Veltman,RB,7,29,91,68,48,36,44,7,8000000
29,Nacho Vidal,RB,49,24,87,16,6,68,71,22,5000000
